name	version	top_level_modules	requires_dist
cellpose	4.2.1.1	cellpose	numpy>=1.20.0||scipy||natsort||tifffile||tqdm||torch>=1.6||torchvision||opencv-python-headless||fastremap||imagecodecs||roifile||fill-voids||segment_anything||sphinx>=3.0; extra == "docs"||sphinxcontrib-apidoc; extra == "docs"||sphinx_rtd_theme; extra == "docs"||sphinx-argparse; extra == "docs"||pyqtgraph>=0.12.4; extra == "gui"||pyqt6; extra == "gui"||pyqt6.sip; extra == "gui"||qtpy; extra == "gui"||superqt; extra == "gui"||dask; extra == "distributed"||distributed; extra == "distributed"||dask_image; extra == "distributed"||pyyaml; extra == "distributed"||zarr; extra == "distributed"||dask_jobqueue; extra == "distributed"||bokeh; extra == "distributed"||pyarrow; extra == "distributed"||bioimageio.core; extra == "bioimageio"||pyqtgraph>=0.12.4; extra == "all"||pyqt6; extra == "all"||pyqt6.sip; extra == "all"||qtpy; extra == "all"||superqt; extra == "all"||dask; extra == "all"||distributed; extra == "all"||dask_image; extra == "all"||pyyaml; extra == "all"||zarr; extra == "all"||dask_jobqueue; extra == "all"||bokeh; extra == "all"||pyarrow; extra == "all"||nd2; extra == "all"||pynrrd; extra == "all"||bioimageio.core; extra == "all"
contourpy	1.3.2		numpy>=1.23||furo; extra == "docs"||sphinx>=7.2; extra == "docs"||sphinx-copybutton; extra == "docs"||bokeh; extra == "bokeh"||selenium; extra == "bokeh"||contourpy[bokeh,docs]; extra == "mypy"||bokeh; extra == "mypy"||docutils-stubs; extra == "mypy"||mypy==1.15.0; extra == "mypy"||types-Pillow; extra == "mypy"||contourpy[test-no-images]; extra == "test"||matplotlib; extra == "test"||Pillow; extra == "test"||pytest; extra == "test-no-images"||pytest-cov; extra == "test-no-images"||pytest-rerunfailures; extra == "test-no-images"||pytest-xdist; extra == "test-no-images"||wurlitzer; extra == "test-no-images"
cycler	0.12.1	cycler	ipython; extra == "docs"||matplotlib; extra == "docs"||numpydoc; extra == "docs"||sphinx; extra == "docs"||pytest; extra == "tests"||pytest-cov; extra == "tests"||pytest-xdist; extra == "tests"
easyocr	1.7.2	easyocr	torch||torchvision>=0.5||opencv-python-headless||scipy||numpy||Pillow||scikit-image||python-bidi||PyYAML||Shapely||pyclipper||ninja
fastremap	1.20.0	fastremap	numpy
filelock	3.29.4		
fill_voids	2.1.2	fill_voids	numpy||fastremap
fonttools	4.63.0	fontTools	lxml>=4.0; extra == "lxml"||brotli>=1.0.1; platform_python_implementation == "CPython" and extra == "woff"||brotlicffi>=0.8.0; platform_python_implementation != "CPython" and extra == "woff"||zopfli>=0.1.4; extra == "woff"||unicodedata2>=17.0.0; python_version <= "3.14" and extra == "unicode"||lz4>=1.7.4.2; extra == "graphite"||scipy; platform_python_implementation != "PyPy" and extra == "interpolatable"||munkres; platform_python_implementation == "PyPy" and extra == "interpolatable"||pycairo; extra == "interpolatable"||matplotlib; extra == "plot"||sympy; extra == "symfont"||xattr; sys_platform == "darwin" and extra == "type1"||skia-pathops>=0.5.0; extra == "pathops"||uharfbuzz>=0.45.0; extra == "repacker"||lxml>=4.0; extra == "all"||brotli>=1.0.1; platform_python_implementation == "CPython" and extra == "all"||brotlicffi>=0.8.0; platform_python_implementation != "CPython" and extra == "all"||zopfli>=0.1.4; extra == "all"||unicodedata2>=17.0.0; python_version <= "3.14" and extra == "all"||lz4>=1.7.4.2; extra == "all"||scipy; platform_python_implementation != "PyPy" and extra == "all"||munkres; platform_python_implementation == "PyPy" and extra == "all"||pycairo; extra == "all"||matplotlib; extra == "all"||sympy; extra == "all"||xattr; sys_platform == "darwin" and extra == "all"||skia-pathops>=0.5.0; extra == "all"||uharfbuzz>=0.45.0; extra == "all"
fsspec	2026.6.0		adlfs; extra == 'abfs'||adlfs; extra == 'adl'||pyarrow>=1; extra == 'arrow'||dask; extra == 'dask'||distributed; extra == 'dask'||pre-commit; extra == 'dev'||ruff>=0.5; extra == 'dev'||numpydoc; extra == 'doc'||sphinx; extra == 'doc'||sphinx-design; extra == 'doc'||sphinx-rtd-theme; extra == 'doc'||yarl; extra == 'doc'||dropbox; extra == 'dropbox'||dropboxdrivefs; extra == 'dropbox'||requests; extra == 'dropbox'||adlfs; extra == 'full'||aiohttp!=4.0.0a0,!=4.0.0a1; extra == 'full'||dask; extra == 'full'||distributed; extra == 'full'||dropbox; extra == 'full'||dropboxdrivefs; extra == 'full'||fusepy; extra == 'full'||gcsfs>2024.2.0; extra == 'full'||libarchive-c; extra == 'full'||ocifs; extra == 'full'||panel; extra == 'full'||paramiko; extra == 'full'||pyarrow>=1; extra == 'full'||pygit2; extra == 'full'||requests; extra == 'full'||s3fs>2024.2.0; extra == 'full'||smbprotocol; extra == 'full'||tqdm; extra == 'full'||fusepy; extra == 'fuse'||gcsfs>2024.2.0; extra == 'gcs'||pygit2; extra == 'git'||requests; extra == 'github'||gcsfs; extra == 'gs'||panel; extra == 'gui'||pyarrow>=1; extra == 'hdfs'||aiohttp!=4.0.0a0,!=4.0.0a1; extra == 'http'||libarchive-c; extra == 'libarchive'||ocifs; extra == 'oci'||s3fs>2024.2.0; extra == 's3'||paramiko; extra == 'sftp'||smbprotocol; extra == 'smb'||paramiko; extra == 'ssh'||aiohttp!=4.0.0a0,!=4.0.0a1; extra == 'test'||numpy; extra == 'test'||pytest; extra == 'test'||pytest-asyncio!=0.22.0; extra == 'test'||pytest-benchmark; extra == 'test'||pytest-cov; extra == 'test'||pytest-mock; extra == 'test'||pytest-recording; extra == 'test'||pytest-rerunfailures; extra == 'test'||requests; extra == 'test'||aiobotocore<3.0.0,>=2.5.4; extra == 'test-downstream'||dask[dataframe,test]; extra == 'test-downstream'||moto[server]<5,>4; extra == 'test-downstream'||pytest-timeout; extra == 'test-downstream'||xarray; extra == 'test-downstream'||adlfs; extra == 'test-full'||aiohttp!=4.0.0a0,!=4.0.0a1; extra == 'test-full'||backports-zstd; (python_version < '3.14') and extra == 'test-full'||cloudpickle; extra == 'test-full'||dask; extra == 'test-full'||distributed; extra == 'test-full'||dropbox; extra == 'test-full'||dropboxdrivefs; extra == 'test-full'||fastparquet; extra == 'test-full'||fusepy; extra == 'test-full'||gcsfs; extra == 'test-full'||jinja2; extra == 'test-full'||kerchunk; extra == 'test-full'||libarchive-c; extra == 'test-full'||lz4; extra == 'test-full'||notebook; extra == 'test-full'||numpy; extra == 'test-full'||ocifs; extra == 'test-full'||pandas<3.0.0; extra == 'test-full'||panel; extra == 'test-full'||paramiko; extra == 'test-full'||pyarrow; extra == 'test-full'||pyarrow>=1; extra == 'test-full'||pyftpdlib; extra == 'test-full'||pygit2; extra == 'test-full'||pytest; extra == 'test-full'||pytest-asyncio!=0.22.0; extra == 'test-full'||pytest-benchmark; extra == 'test-full'||pytest-cov; extra == 'test-full'||pytest-mock; extra == 'test-full'||pytest-recording; extra == 'test-full'||pytest-rerunfailures; extra == 'test-full'||python-snappy; extra == 'test-full'||requests; extra == 'test-full'||smbprotocol; extra == 'test-full'||tqdm; extra == 'test-full'||urllib3; extra == 'test-full'||zarr<3.2.0; extra == 'test-full'||zstandard; (python_version < '3.14') and extra == 'test-full'||tqdm; extra == 'tqdm'
gmpy2	2.3.0	gmpy2	sphinx>=4; extra == "docs"||sphinx-rtd-theme>=1; extra == "docs"||pytest; extra == "tests"||hypothesis; extra == "tests"||cython; extra == "tests"||mpmath; extra == "tests"||setuptools; extra == "tests"||numpy; python_version >= "3.11" and extra == "tests"
