tool	path	version_first_line
git	/usr/bin/git	git version 2.43.7
curl	<MODULE_ROOT>/software/Anaconda3/2024.02-1/bin/curl	curl 8.5.0 (x86_64-conda-linux-gnu) libcurl/8.5.0 OpenSSL/3.1.8 zlib/1.2.13 libssh2/1.10.0 nghttp2/1.57.0
wget	/usr/bin/wget	GNU Wget 1.19.5 built on linux-gnu.
aria2c	NA	NA
rsync	/usr/bin/rsync	rsync  version 3.1.3  protocol version 31
openssl	<HPC_HOME>/.conda/envs/cellpose_cpsam/bin/openssl	OpenSSL 3.6.3 9 Jun 2026 (Library: OpenSSL 3.6.3 9 Jun 2026)
tar	/usr/bin/tar	tar (GNU tar) 1.30
gzip	/usr/bin/gzip	gzip 1.9
bzip2	<HPC_HOME>/.conda/envs/cellpose_cpsam/bin/bzip2	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
xz	<MODULE_ROOT>/software/Anaconda3/2024.02-1/bin/xz	xz (XZ Utils) 5.4.5
unzip	/usr/bin/unzip	caution:  both -n and -o specified; ignoring -o
zstd	<HPC_HOME>/.conda/envs/cellpose_cpsam/bin/zstd	*** Zstandard CLI (64-bit) v1.5.7, by Yann Collet ***
